ts_code,trade_date,adj_factor
002206.SZ,20210322,10.708
002207.SZ,20210322,2.053
002208.SZ,20210322,5.345
002209.SZ,20210322,1.555
002210.SZ,20210322,10.352
002211.SZ,20210322,1.524
002212.SZ,20210322,3.256
002213.SZ,20210322,2.098
002214.SZ,20210322,4.202
002215.SZ,20210322,7.914
002216.SZ,20210322,8.359
002217.SZ,20210322,5.723
002218.SZ,20210322,5.573
002219.SZ,20210322,16.233
002221.SZ,20210322,4.211
002222.SZ,20210322,2.621
002223.SZ,20210322,8.984
002224.SZ,20210322,6.962
002225.SZ,20210322,1.863
002226.SZ,20210322,9.046
002227.SZ,20210322,2.077
002228.SZ,20210322,9.673
002229.SZ,20210322,5.186
002230.SZ,20210322,13.468
002231.SZ,20210322,3.094
002232.SZ,20210322,3.127
002233.SZ,20210322,2.782
002234.SZ,20210322,2.136
002235.SZ,20210322,4.574
002236.SZ,20210322,42.637
002237.SZ,20210322,8.251
002238.SZ,20210322,3.176
002239.SZ,20210322,9.08
002240.SZ,20210322,1.617
002241.SZ,20210322,23.011
002242.SZ,20210322,4.699
002243.SZ,20210322,1.71
002244.SZ,20210322,5.948
002245.SZ,20210322,13.79
002246.SZ,20210322,1.603
002247.SZ,20210322,6.487
002248.SZ,20210322,2.028
002249.SZ,20210322,11.915
002250.SZ,20210322,6.021
002251.SZ,20210322,4.822
002252.SZ,20210322,24.126
002253.SZ,20210322,3.823
002254.SZ,20210322,5.682
002255.SZ,20210322,4.157
002256.SZ,20210322,15.226
002258.SZ,20210322,3.646
002259.SZ,20210322,2.585
002261.SZ,20210322,10.138
002262.SZ,20210322,8.493
002263.SZ,20210322,4.525
002264.SZ,20210322,4.725
002265.SZ,20210322,1.003
002266.SZ,20210322,10.98
002267.SZ,20210322,2.507
002268.SZ,20210322,8.506
002269.SZ,20210322,4.487
002270.SZ,20210322,2.133
002271.SZ,20210322,33.441
002272.SZ,20210322,3.415
002273.SZ,20210322,13.929
002274.SZ,20210322,3.241
002275.SZ,20210322,1.683
002276.SZ,20210322,3.782
002277.SZ,20210322,6.334
002278.SZ,20210322,2.172
002279.SZ,20210322,9.994
002280.SZ,20210322,13.509
002281.SZ,20210322,3.261
002282.SZ,20210322,2.119
002283.SZ,20210322,4.182
002284.SZ,20210322,6.476
002285.SZ,20210322,14.584
002286.SZ,20210322,3.56
002287.SZ,20210322,1.512
002288.SZ,20210322,7.455
002289.SZ,20210322,1.524
002290.SZ,20210322,2.657
002291.SZ,20210322,1.726
002292.SZ,20210322,7.912
002293.SZ,20210322,6.957
002294.SZ,20210322,11.214
002295.SZ,20210322,1.582
002296.SZ,20210322,5.132
002297.SZ,20210322,3.015
002298.SZ,20210322,3.136
002299.SZ,20210322,2.458
002300.SZ,20210322,6.571
002301.SZ,20210322,4.811
002302.SZ,20210322,4.125
002303.SZ,20210322,9.299
002304.SZ,20210322,4.221
002305.SZ,20210322,3.356
002306.SZ,20210322,4.174
002307.SZ,20210322,4.193
002308.SZ,20210322,4.334
002309.SZ,20210322,3.772
002310.SZ,20210322,46.53
002311.SZ,20210322,6.934
002312.SZ,20210322,18.207
002313.SZ,20210322,2.686
002314.SZ,20210322,2.295
002315.SZ,20210322,3.252
002316.SZ,20210322,3.336
002317.SZ,20210322,10.585
002318.SZ,20210322,5.641
002319.SZ,20210322,2.051
002320.SZ,20210322,8.841
002321.SZ,20210322,2.061
002322.SZ,20210322,4.719
002323.SZ,20210322,4.298
002324.SZ,20210322,6.746
002325.SZ,20210322,8.835
002326.SZ,20210322,5.729
002327.SZ,20210322,10.108
002328.SZ,20210322,2.834
002329.SZ,20210322,5.874
002330.SZ,20210322,2.048
002331.SZ,20210322,5.396
002332.SZ,20210322,2.554
002333.SZ,20210322,3.72
002334.SZ,20210322,11.901
002335.SZ,20210322,5.756
002336.SZ,20210322,1.19
002337.SZ,20210322,5.233
002338.SZ,20210322,3.245
002339.SZ,20210322,5.479
002340.SZ,20210322,23.868
002341.SZ,20210322,8.32
002342.SZ,20210322,2.481
002343.SZ,20210322,3.201
002344.SZ,20210322,4.387
002345.SZ,20210322,6.799
002346.SZ,20210322,2.182
002347.SZ,20210322,3.843
002348.SZ,20210322,6.867
002349.SZ,20210322,7.831
002350.SZ,20210322,4.83
002351.SZ,20210322,7.003
002352.SZ,20210322,3.476
002353.SZ,20210322,8.188
002354.SZ,20210322,2.874
002355.SZ,20210322,2.086
002356.SZ,20210322,5.513
002357.SZ,20210322,4.325
002358.SZ,20210322,8.501
002360.SZ,20210322,6.838
002361.SZ,20210322,8.928
002362.SZ,20210322,2.0
002363.SZ,20210322,2.555
002364.SZ,20210322,6.453
002365.SZ,20210322,3.322
002366.SZ,20210322,2.332
002367.SZ,20210322,7.816
002368.SZ,20210322,5.413
002369.SZ,20210322,4.294
002370.SZ,20210322,3.53
002371.SZ,20210322,4.747
002372.SZ,20210322,8.096
002373.SZ,20210322,4.09
002374.SZ,20210322,6.631
002375.SZ,20210322,6.124
002376.SZ,20210322,4.526
002377.SZ,20210322,4.335
002378.SZ,20210322,2.09
002379.SZ,20210322,8.017
002380.SZ,20210322,3.27
002381.SZ,20210322,5.407
002382.SZ,20210322,6.505
002383.SZ,20210322,4.798
002384.SZ,20210322,7.311
002385.SZ,20210322,10.301
002386.SZ,20210322,1.788
002387.SZ,20210322,3.558
002388.SZ,20210322,3.794
002389.SZ,20210322,6.164
002390.SZ,20210322,10.279
002391.SZ,20210322,5.631
002392.SZ,20210322,8.42
002393.SZ,20210322,1.167
